season,week,transaction_id,related_transaction_id,transaction_type,status,espn_team_id,bid_amount,item_type,player_id,player_name,from_team_id,to_team_id,date
2020,2,ea234da4-fcf2-4542-97fc-da76cbea521a,f6a22ce7-578e-4fd0-9000-5790827a8968,WAIVER,FAILED_PLAYERALREADYDROPPED,7,2,DROP,3045260.0,Corey Clement,7.0,0.0,2020-09-16
2020,2,159469d7-9649-4406-8bf1-df3f93d4c360,fc9b1a05-a699-426a-843e-d2f6ad005f21,WAIVER,FAILED_INVALIDPLAYERSOURCE,10,20,ADD,2570986.0,Malcolm Brown,0.0,10.0,2020-09-16
2020,2,159469d7-9649-4406-8bf1-df3f93d4c360,fc9b1a05-a699-426a-843e-d2f6ad005f21,WAIVER,FAILED_INVALIDPLAYERSOURCE,10,20,DROP,3116136.0,Justin Jackson,10.0,0.0,2020-09-16
2020,2,ed1b2417-b1b8-4f78-97de-6bd1dcc9fa64,,FREEAGENT,EXECUTED,5,0,ADD,16813.0,Logan Thomas,0.0,5.0,2020-09-17
2020,2,ed1b2417-b1b8-4f78-97de-6bd1dcc9fa64,,FREEAGENT,EXECUTED,5,0,DROP,-16010.0,Titans D/ST,5.0,0.0,2020-09-17
2020,3,94a7c65c-8987-41c4-af56-7fd1da00c434,,TRADE_PROPOSAL,PENDING,13,0,TRADE,2508176.0,David Johnson,10.0,13.0,2020-09-25
2020,3,94a7c65c-8987-41c4-af56-7fd1da00c434,,TRADE_PROPOSAL,PENDING,13,0,TRADE,2974858.0,Kenny Golladay,13.0,10.0,2020-09-25
2020,3,1592c3eb-6359-489e-8a2f-f547300fcbc5,,FREEAGENT,EXECUTED,10,0,ADD,3071572.0,Keelan Cole Sr.,0.0,10.0,2020-09-24
2020,3,1592c3eb-6359-489e-8a2f-f547300fcbc5,,FREEAGENT,EXECUTED,10,0,DROP,16504.0,Jack Doyle,10.0,0.0,2020-09-24
2020,3,6344cc41-9a65-4ab4-89d0-54bd7eb9a004,abfb6efa-9ad7-40d4-9cf1-fd4ba75deb8a,WAIVER,FAILED_INVALIDPLAYERSOURCE,1,5,ADD,16782.0,Jerick McKinnon,0.0,1.0,2020-09-23
2020,3,6344cc41-9a65-4ab4-89d0-54bd7eb9a004,abfb6efa-9ad7-40d4-9cf1-fd4ba75deb8a,WAIVER,FAILED_INVALIDPLAYERSOURCE,1,5,DROP,3043275.0,Austin Hooper,1.0,0.0,2020-09-23
2020,3,bebb8b8d-bf23-4866-a9db-3979737a512c,,FREEAGENT,EXECUTED,5,0,ADD,15971.0,Rex Burkhead,0.0,5.0,2020-09-27
